[18:28:30.4974] cted! Chip ID: 0xA0
[18:28:30.4996] BNO055 initialized successfully!
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy
[18:28:35.4994] -21.31,3.38,358.94,0.9822,-0.0298,0.1852,0.0087,-3.35,-0.77,9.11,3.00,6.44,5.75,9.74,0,1.70,0.0727,0.0124
[18:28:35.5664] -21.69,3.25,358.75,0.9816,-0.0290,0.1882,0.0107,-3.69,-0.15,9.10,2.56,0.56,4.62,9.82,0,1.70,0.0738,0.0122
[18:28:35.6354] -21.75,2.88,358.75,0.9816,-0.0251,0.1889,0.0101,-4.05,-0.40,9.15,8.25,1.94,-3.44,10.01,0,1.70,0.0741,0.0106
[18:28:35.7014] -21.12,2.94,359.00,0.9827,-0.0262,0.1834,0.0085,-3.14,-0.26,8.78,-7.94,-14.50,-3.38,9.33,0,1.70,0.0720,0.0109
[18:28:35.7695] -20.75,3.62,359.00,0.9831,-0.0319,0.1800,0.0081,-3.33,-0.84,9.60,-6.62,2.19,1.50,10.20,0,1.70,0.0707,0.0131
[18:28:35.8374] -21.12,3.25,358.94,0.9824,-0.0278,0.1843,0.0089,-3.90,-0.61,9.17,10.75,13.88,1.81,9.98,0,1.70,0.0723,0.0116
[18:28:35.9044] -21.50,2.56,359.06,0.9821,-0.0227,0.1866,0.0076,-3.77,-0.13,8.85,7.75,-1.38,-1.88,9.62,0,1.70,0.0733,0.0095
[18:28:35.9744] -21.12,2.50,359.31,0.9827,-0.0221,0.1836,0.0059,-3.51,-0.30,9.02,-4.38,-12.69,-3.25,9.68,0,1.70,0.0721,0.0091
[18:28:36.0414] -20.50,2.75,359.38,0.9838,-0.0240,0.1779,0.0048,-3.28,-0.42,9.12,-1.19,-5.38,-1.56,9.70,0,1.70,0.0700,0.0098
[18:28:36.1075] -20.31,2.62,359.50,0.9839,-0.0222,0.1769,0.0040,-3.24,-0.35,9.03,4.62,1.06,-1.00,9.60,0,1.70,0.0696,0.0090
[18:28:36.1774] -20.44,2.25,359.69,0.9839,-0.0192,0.1777,0.0024,-3.53,-0.20,9.07,5.56,0.38,-1.88,9.73,0,1.70,0.0699,0.0077
[18:28:36.2465] -20.38,2.12,359.81,0.9841,-0.0179,0.1769,0.0012,-3.42,-0.13,9.12,1.06,-2.00,-2.19,9.74,0,1.70,0.0696,0.0071
[18:28:36.3166] -20.19,2.12,359.94,0.9843,-0.0182,0.1758,0.0004,-3.41,-0.36,9.15,-0.38,-0.44,-0.81,9.77,0,1.70,0.0692,0.0072
[18:28:36.3835] -20.19,2.12,359.94,0.9843,-0.0179,0.1754,0.0001,-3.47,-0.28,9.08,0.19,-2.62,-0.69,9.72,0,1.70,0.0690,0.0071
[18:28:36.4506] -20.00,2.12,0.00,0.9847,-0.0179,0.1736,-0.0002,-3.30,-0.33,9.13,0.38,-3.25,-1.62,9.71,0,1.70,0.0684,0.0071
[18:28:36.5175] -19.81,2.12,0.12,0.9849,-0.0177,0.1724,-0.0011,-3.24,-0.17,9.07,-0.81,-2.75,-1.31,9.63,0,1.70,0.0679,0.0069
[18:28:36.5866] -19.81,2.12,0.19,0.9849,-0.0175,0.1722,-0.0017,-3.32,-0.25,9.19,3.25,1.44,-1.31,9.77,0,1.70,0.0679,0.0068
[18:28:36.6534] -19.94,1.88,0.25,0.9847,-0.0155,0.1736,-0.0024,-3.46,-0.21,9.19,2.88,2.31,-1.00,9.82,0,1.70,0.0684,0.0059
[18:28:36.7204] -20.00,1.81,0.31,0.9846,-0.0145,0.1741,-0.0032,-3.36,-0.21,9.09,1.00,1.00,-1.38,9.69,0,1.70,0.0686,0.0055
[18:28:36.7903] -20.00,1.75,0.44,0.9847,-0.0139,0.1738,-0.0043,-3.45,-0.21,9.11,0.25,-2.12,-1.94,9.74,0,1.70,0.0685,0.0052
[18:28:36.8564] -19.81,1.75,0.56,0.9849,-0.0140,0.1722,-0.0053,-3.18,-0.25,9.10,0.88,-3.12,-1.94,9.64,0,1.70,0.0679,0.0052
[18:28:36.9224] -19.75,1.69,0.69,0.9850,-0.0133,0.1718,-0.0065,-3.36,-0.15,9.19,1.81,-0.88,-1.31,9.79,0,1.70,0.0677,0.0048
[18:28:36.9914] -19.62,1.62,0.75,0.9852,-0.0129,0.1708,-0.0071,-3.27,-0.14,9.09,0.19,-1.69,-1.62,9.66,0,1.70,0.0674,0.0046
[18:28:37.0584] -19.50,1.69,0.81,0.9854,-0.0129,0.1697,-0.0074,-3.27,-0.23,9.11,-0.06,-3.06,-0.56,9.68,0,1.70,0.0669,0.0046
[18:28:37.1244] -19.31,1.69,0.88,0.9856,-0.0129,0.1684,-0.0080,-3.25,-0.17,9.13,-0.50,-1.94,-0.94,9.69,0,1.70,0.0664,0.0046
[18:28:37.1934] -19.19,1.75,0.94,0.9858,-0.0135,0.1669,-0.0085,-3.17,-0.24,9.13,-1.44,-2.19,-1.38,9.67,0,1.70,0.0659,0.0048
