[18:28:30.4974] cted! Chip ID: 0xA0 
[18:28:30.4996] BNO055 initialized successfully! 
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy 
-5.88,-85.44,276.75,0.5488,0.4582,0.5010,0.4877,-0.94,9.85,0.64,1.44,-0.56,0.56,9.92,2,0.20,0.1994,-0.0029
-5.88,-85.44,276.75,0.5490,0.4584,0.5009,0.4875,-0.95,9.59,0.83,0.38,-0.12,-0.31,9.67,2,0.20,0.1994,-0.0030
-5.94,-85.50,276.75,0.5489,0.4581,0.5013,0.4874,-1.15,9.64,0.74,0.12,0.75,-1.50,9.74,2,0.20,0.1994,-0.0028
-6.00,-85.56,276.81,0.5488,0.4580,0.5018,0.4871,-1.03,9.79,0.68,0.69,0.50,-0.50,9.87,2,0.20,0.1994,-0.0028
-6.00,-85.44,276.81,0.5496,0.4573,0.5013,0.4874,-1.01,9.67,0.71,-3.06,-0.44,-1.25,9.75,2,0.20,0.1994,-0.0028
-6.00,-85.38,276.81,0.5497,0.4571,0.5010,0.4877,-1.05,9.60,0.67,0.25,-0.56,0.69,9.68,2,0.20,0.1993,-0.0028
-6.00,-85.44,276.88,0.5497,0.4576,0.5011,0.4872,-0.92,9.88,0.67,0.69,-1.75,0.75,9.95,2,0.20,0.1994,-0.0030
-6.06,-85.44,276.94,0.5497,0.4578,0.5014,0.4866,-1.22,9.76,0.63,0.12,-0.44,-1.25,9.86,2,0.20,0.1994,-0.0031
-6.06,-85.44,277.06,0.5501,0.4580,0.5012,0.4862,-0.94,9.73,0.78,0.12,0.44,-0.50,9.81,2,0.20,0.1994,-0.0033
-6.06,-85.50,276.94,0.5498,0.4575,0.5018,0.4865,-1.23,9.84,0.70,-0.12,2.19,0.44,9.94,2,0.20,0.1994,-0.0030
-5.88,-85.38,276.88,0.5497,0.4583,0.5002,0.4873,-0.54,9.61,0.61,-0.44,-2.12,2.56,9.64,2,0.20,0.1993,-0.0033
-5.94,-85.44,276.88,0.5494,0.4580,0.5012,0.4871,-1.41,10.01,0.68,-0.12,1.38,-1.00,10.13,2,0.20,0.1994,-0.0030
-6.00,-85.44,276.94,0.5497,0.4581,0.5009,0.4868,-0.90,9.87,0.73,-0.50,-0.12,-1.12,9.94,2,0.20,0.1993,-0.0032
-6.06,-85.44,277.00,0.5502,0.4578,0.5009,0.4867,-1.11,9.99,0.62,-1.31,-0.50,0.31,10.07,2,0.20,0.1994,-0.0032
-6.06,-85.44,277.00,0.5501,0.4578,0.5010,0.4866,-1.05,10.11,0.56,-1.00,-0.31,0.94,10.18,2,0.20,0.1994,-0.0032
-6.06,-85.31,277.00,0.5508,0.4570,0.5007,0.4869,-0.98,9.77,0.63,-2.50,-0.50,0.06,9.84,2,0.20,0.1993,-0.0032
-6.12,-85.38,277.06,0.5509,0.4569,0.5012,0.4864,-0.94,9.83,0.58,2.94,0.56,-0.88,9.89,2,0.20,0.1993,-0.0032
-6.19,-85.50,277.06,0.5500,0.4572,0.5026,0.4857,-1.03,9.86,0.68,1.44,-0.31,0.19,9.94,2,0.20,0.1994,-0.0029
-6.25,-85.62,277.00,0.5493,0.4567,0.5036,0.4858,-1.48,9.98,0.63,0.44,1.75,-0.56,10.11,2,0.20,0.1994,-0.0025
-6.12,-85.50,276.94,0.5496,0.4572,0.5024,0.4864,-0.95,9.91,0.59,-0.88,-0.50,0.31,9.97,2,0.20,0.1994,-0.0027
-6.12,-85.44,276.94,0.5498,0.4568,0.5021,0.4868,-1.15,9.85,0.64,0.06,-0.62,-0.31,9.94,2,0.20,0.1994,-0.0027
-6.12,-85.44,276.94,0.5499,0.4572,0.5020,0.4865,-1.05,9.82,0.66,-0.38,-1.81,0.50,9.90,2,0.20,0.1994,-0.0029
-6.12,-85.50,277.00,0.5497,0.4575,0.5020,0.4862,-1.12,9.77,0.68,1.12,0.19,0.69,9.86,2,0.20,0.1994,-0.0030
-6.06,-85.50,276.94,0.5496,0.4578,0.5020,0.4863,-1.06,9.75,0.73,0.94,0.75,1.31,9.83,2,0.20,0.1994,-0.0030
-6.00,-85.56,276.88,0.5492,0.4584,0.5015,0.4865,-0.91,9.80,0.69,-0.62,-1.25,0.75,9.87,2,0.20,0.1994,-0.0031
-6.00,-85.56,276.88,0.5492,0.4584,0.5017,0.4864,-1.06,9.87,0.70,-0.25,0.69,-1.69,9.95,2,0.20,0.1994,-0.0031
-6.06,-85.56,276.94,0.5494,0.4579,0.5021,0.4861,-1.23,9.86,0.67,-0.62,-0.12,-1.00,9.96,2,0.20,0.1994,-0.0030
-6.12,-85.44,277.06,0.5504,0.4572,0.5015,0.4864,-1.03,9.71,0.69,-1.06,0.12,-0.94,9.79,2,0.20,0.1994,-0.0031
-6.19,-85.44,277.06,0.5505,0.4568,0.5021,0.4861,-1.00,9.63,0.64,1.38,1.69,-0.50,9.70,2,0.20,0.1994,-0.0030
-6.19,-85.50,277.06,0.5500,0.4570,0.5026,0.4858,-0.98,9.81,0.63,1.75,0.44,-0.06,9.88,2,0.20,0.1994,-0.0029
-6.19,-85.56,277.06,0.5497,0.4573,0.5030,0.4856,-1.01,9.85,0.63,0.75,0.69,0.00,9.92,2,0.20,0.1994,-0.0028
-6.25,-85.56,277.06,0.5499,0.4573,0.5027,0.4855,-0.94,9.68,0.66,-1.06,-0.69,0.44,9.75,2,0.20,0.1994,-0.0030
-6.25,-85.62,277.12,0.5499,0.4571,0.5032,0.4852,-1.16,9.92,0.63,0.06,0.69,-1.06,10.01,2,0.20,0.1994,-0.0029
-6.25,-85.62,277.12,0.5497,0.4571,0.5034,0.4853,-1.11,9.62,0.72,-0.25,0.69,0.31,9.71,2,0.20,0.1994,-0.0028
-6.25,-85.62,277.06,0.5494,0.4574,0.5032,0.4854,-1.09,9.76,0.65,-1.00,-0.06,1.25,9.84,2,0.20,0.1994,-0.0028
-6.19,-85.62,277.00,0.5495,0.4573,0.5031,0.4857,-1.00,9.80,0.64,0.06,-0.25,1.06,9.87,2,0.20,0.1994,-0.0028
-6.19,-85.62,277.00,0.5494,0.4576,0.5027,0.4858,-0.95,9.76,0.61,0.12,-0.81,1.19,9.83,2,0.20,0.1994,-0.0029
-6.12,-85.62,277.00,0.5494,0.4578,0.5025,0.4859,-1.08,9.72,0.66,-1.31,-0.88,1.44,9.80,2,0.20,0.1994,-0.0029
-6.06,-85.50,276.94,0.5496,0.4579,0.5017,0.4863,-0.88,9.66,0.66,-0.19,-1.25,1.50,9.72,2,0.20,0.1994,-0.0031
-6.06,-85.38,277.00,0.5504,0.4574,0.5009,0.4869,-0.94,9.64,0.74,-2.44,-0.88,-0.75,9.71,2,0.20,0.1993,-0.0031
-6.06,-85.38,276.94,0.5501,0.4573,0.5011,0.4869,-1.20,9.86,0.72,0.94,0.31,-0.19,9.96,2,0.20,0.1993,-0.0030
-6.00,-85.38,276.88,0.5499,0.4577,0.5005,0.4874,-1.02,9.32,0.85,-0.44,-0.56,1.62,9.41,2,0.20,0.1993,-0.0031
-5.94,-85.38,276.88,0.5500,0.4579,0.5002,0.4874,-0.97,9.33,0.83,-1.88,-1.25,2.69,9.42,2,0.20,0.1993,-0.0032
-5.94,-85.38,276.88,0.5500,0.4581,0.5002,0.4872,-1.02,9.52,0.79,-1.00,0.69,0.81,9.61,2,0.20,0.1993,-0.0033
-5.94,-85.31,276.94,0.5504,0.4580,0.5000,0.4872,-1.01,9.70,0.75,-0.44,-0.25,-0.12,9.78,2,0.20,0.1993,-0.0034
-5.94,-85.31,276.94,0.5505,0.4581,0.4996,0.4873,-0.94,9.63,0.71,-0.12,0.19,0.50,9.70,2,0.20,0.1993,-0.0035
-5.94,-85.31,276.88,0.5502,0.4580,0.5000,0.4874,-1.08,9.83,0.67,-0.12,0.62,-0.62,9.91,2,0.20,0.1993,-0.0033
-5.94,-85.31,276.88,0.5502,0.4578,0.5002,0.4873,-1.05,9.81,0.72,0.38,0.38,0.19,9.89,2,0.20,0.1993,-0.0032
-6.00,-85.31,276.94,0.5502,0.4577,0.5004,0.4872,-1.05,9.68,0.71,-0.88,0.25,-0.56,9.76,2,0.20,0.1993,-0.0032
-6.00,-85.31,276.94,0.5503,0.4577,0.5003,0.4872,-1.11,9.91,0.64,0.50,-0.06,0.06,9.99,2,0.20,0.1993,-0.0033
-6.00,-85.25,276.94,0.5507,0.4573,0.4999,0.4875,-0.98,9.72,0.70,-3.50,-0.81,-0.88,9.79,2,0.20,0.1993,-0.0032
-6.00,-85.19,277.00,0.5511,0.4568,0.4998,0.4876,-0.90,9.77,0.61,0.88,0.25,-1.00,9.83,2,0.20,0.1993,-0.0032
-6.06,-85.25,276.94,0.5508,0.4570,0.5002,0.4873,-1.10,9.79,0.74,1.00,-0.75,0.00,9.88,2,0.20,0.1993,-0.0032
-6.06,-85.38,277.00,0.5504,0.4572,0.5011,0.4868,-1.24,9.85,0.69,0.94,0.56,-0.75,9.95,2,0.20,0.1993,-0.0031
-6.06,-85.38,277.00,0.5505,0.4570,0.5010,0.4869,-0.94,9.84,0.69,-1.06,-0.25,-0.56,9.91,2,0.20,0.1993,-0.0031
-6.06,-85.25,277.00,0.5508,0.4568,0.5006,0.4871,-1.09,9.86,0.61,-1.88,-1.06,0.44,9.94,2,0.20,0.1993,-0.0031
-6.12,-85.31,277.00,0.5509,0.4567,0.5009,0.4868,-1.11,9.86,0.64,1.25,0.06,-0.88,9.94,2,0.20,0.1993,-0.0031
-6.12,-85.31,277.06,0.5507,0.4568,0.5012,0.4866,-1.20,9.82,0.70,-0.75,0.44,-0.25,9.92,2,0.20,0.1993,-0.0031
-6.12,-85.31,277.06,0.5507,0.4568,0.5012,0.4866,-1.00,9.69,0.72,-0.38,-0.06,1.00,9.77,2,0.20,0.1993,-0.0031
-6.12,-85.38,277.00,0.5506,0.4567,0.5012,0.4868,-1.13,9.55,0.72,-2.00,0.00,0.38,9.64,2,0.20,0.1993,-0.0030
-6.12,-85.31,277.00,0.5505,0.4568,0.5012,0.4869,-1.07,9.79,0.69,-0.44,0.94,0.06,9.87,2,0.20,0.1993,-0.0030
-6.12,-85.31,277.00,0.5506,0.4567,0.5012,0.4868,-1.05,9.38,0.75,-1.31,-0.50,1.50,9.47,2,0.20,0.1993,-0.0030
-6.12,-85.31,277.06,0.5511,0.4565,0.5010,0.4867,-0.96,9.64,0.78,-3.19,-1.75,-0.06,9.72,2,0.20,0.1993,-0.0031
-6.25,-85.25,277.19,0.5518,0.4560,0.5011,0.4863,-1.02,9.79,0.67,-0.38,0.31,-1.06,9.87,2,0.20,0.1993,-0.0032
-6.25,-85.31,277.19,0.5515,0.4561,0.5015,0.4861,-1.16,9.93,0.68,0.88,0.06,0.81,10.02,2,0.20,0.1993,-0.0031
-6.12,-85.31,277.06,0.5510,0.4570,0.5007,0.4866,-0.88,9.82,0.60,0.81,-0.81,2.69,9.88,2,0.20,0.1993,-0.0033
-6.06,-85.44,277.00,0.5504,0.4576,0.5011,0.4864,-1.28,10.01,0.67,-0.56,0.06,-0.69,10.11,2,0.20,0.1993,-0.0033
-6.12,-85.38,277.06,0.5508,0.4573,0.5012,0.4861,-1.02,10.01,0.57,0.94,0.50,-2.19,10.08,2,0.20,0.1993,-0.0033
-6.19,-85.38,277.12,0.5511,0.4567,0.5015,0.4860,-1.19,9.78,0.58,-0.56,-1.06,-2.06,9.87,2,0.20,0.1993,-0.0032
-6.25,-85.44,277.19,0.5510,0.4568,0.5020,0.4855,-1.25,9.93,0.65,-0.44,0.69,-0.56,10.03,2,0.20,0.1993,-0.0032
-6.19,-85.31,277.19,0.5513,0.4569,0.5009,0.4862,-0.87,9.66,0.65,-0.12,-0.88,2.19,9.72,2,0.20,0.1993,-0.0034
-6.12,-85.31,277.12,0.5510,0.4573,0.5006,0.4865,-0.92,9.77,0.61,-1.56,-1.38,2.88,9.83,2,0.20,0.1993,-0.0034
-6.00,-85.25,277.12,0.5515,0.4577,0.4996,0.4866,-0.90,9.80,0.73,0.31,-0.25,-0.88,9.87,2,0.20,0.1993,-0.0037
-6.12,-85.31,277.19,0.5516,0.4575,0.5003,0.4860,-1.05,9.75,0.67,0.62,-0.56,-0.56,9.83,2,0.20,0.1993,-0.0037
-6.19,-85.38,277.25,0.5516,0.4574,0.5009,0.4855,-1.02,9.79,0.68,0.38,0.94,-2.38,9.87,2,0.20,0.1993,-0.0037
-6.25,-85.31,277.25,0.5516,0.4568,0.5010,0.4858,-1.13,9.84,0.74,-0.75,-0.56,1.81,9.93,2,0.20,0.1993,-0.0034
-6.19,-85.31,277.19,0.5515,0.4569,0.5010,0.4859,-1.06,9.66,0.74,-0.25,1.50,-0.62,9.75,2,0.20,0.1993,-0.0034
-6.19,-85.38,277.19,0.5510,0.4572,0.5014,0.4858,-1.00,9.75,0.68,0.38,-0.38,0.44,9.82,2,0.20,0.1994,-0.0033
-6.19,-85.38,277.19,0.5511,0.4570,0.5016,0.4857,-1.21,9.76,0.66,0.31,0.50,-0.12,9.86,2,0.20,0.1994,-0.0033
-6.19,-85.38,277.19,0.5513,0.4570,0.5012,0.4858,-0.94,9.76,0.67,-0.56,-0.50,0.56,9.83,2,0.20,0.1993,-0.0034
-6.19,-85.31,277.25,0.5517,0.4571,0.5006,0.4859,-1.00,9.65,0.79,-1.19,-3.25,0.81,9.73,2,0.20,0.1993,-0.0036
-6.19,-85.44,277.19,0.5510,0.4575,0.5013,0.4856,-1.18,9.83,0.70,1.12,-0.50,0.19,9.93,2,0.20,0.1994,-0.0034
-6.19,-85.44,277.25,0.5511,0.4575,0.5015,0.4853,-1.08,9.80,0.65,0.06,0.50,-1.56,9.88,2,0.20,0.1994,-0.0035
-6.25,-85.44,277.25,0.5511,0.4573,0.5017,0.4852,-0.98,9.75,0.66,-0.12,-0.50,0.38,9.82,2,0.20,0.1994,-0.0034
-6.19,-85.44,277.19,0.5509,0.4575,0.5013,0.4857,-1.08,9.85,0.70,-1.12,0.31,1.06,9.93,2,0.20,0.1993,-0.0034
-6.12,-85.38,277.12,0.5510,0.4574,0.5010,0.4860,-1.08,9.69,0.61,1.06,-0.62,-0.06,9.77,2,0.20,0.1993,-0.0034
-6.12,-85.38,277.12,0.5510,0.4574,0.5009,0.4861,-1.02,9.67,0.78,-2.12,-0.50,0.00,9.75,2,0.20,0.1993,-0.0034
-6.19,-85.31,277.19,0.5518,0.4568,0.5007,0.4860,-1.09,9.78,0.78,-1.06,0.31,-1.38,9.87,2,0.20,0.1993,-0.0035
-6.25,-85.31,277.25,0.5519,0.4566,0.5009,0.4858,-1.01,9.81,0.67,0.38,0.12,0.06,9.88,2,0.20,0.1993,-0.0035
-6.25,-85.38,277.25,0.5515,0.4570,0.5012,0.4857,-1.07,9.85,0.74,1.06,0.31,1.44,9.94,2,0.20,0.1993,-0.0035
-6.12,-85.31,277.12,0.5513,0.4572,0.5007,0.4862,-0.98,9.74,0.54,-0.69,-1.50,1.88,9.80,2,0.20,0.1993,-0.0034
-6.06,-85.31,277.12,0.5510,0.4577,0.5004,0.4863,-1.07,9.84,0.72,-0.06,0.88,0.00,9.92,2,0.20,0.1993,-0.0035
-6.06,-85.38,277.06,0.5506,0.4578,0.5007,0.4863,-0.92,9.84,0.62,1.69,0.69,0.25,9.90,2,0.20,0.1993,-0.0034
-6.12,-85.50,277.00,0.5500,0.4577,0.5017,0.4861,-1.05,9.92,0.68,0.94,1.25,-1.00,10.00,2,0.20,0.1994,-0.0031
-6.12,-85.50,277.00,0.5499,0.4577,0.5018,0.4861,-0.99,9.93,0.62,0.19,-0.88,1.25,10.00,2,0.20,0.1994,-0.0031
-6.00,-85.44,276.94,0.5499,0.4579,0.5009,0.4869,-0.97,9.84,0.64,-1.94,-2.25,2.31,9.91,2,0.20,0.1994,-0.0032
-5.94,-85.38,276.94,0.5502,0.4583,0.5001,0.4871,-0.98,9.93,0.62,1.12,0.19,-0.69,10.00,2,0.20,0.1993,-0.0034
-5.94,-85.38,276.94,0.5502,0.4583,0.5002,0.4868,-0.85,9.64,0.74,0.62,0.19,-2.19,9.71,2,0.20,0.1993,-0.0035
-6.06,-85.44,277.00,0.5503,0.4576,0.5011,0.4866,-1.11,9.67,0.72,-1.19,0.75,-1.12,9.76,2,0.20,0.1994,-0.0032
-6.12,-85.44,277.00,0.5504,0.4574,0.5013,0.4864,-1.18,9.94,0.62,1.19,1.06,-1.56,10.03,2,0.20,0.1994,-0.0032
-6.00,-85.44,276.94,0.5499,0.4581,0.5010,0.4866,-1.04,9.77,0.71,0.94,-0.31,1.56,9.85,2,0.20,0.1994,-0.0032
-5.94,-85.50,276.94,0.5496,0.4587,0.5008,0.4866,-0.91,9.75,0.71,0.50,-0.31,0.12,9.82,2,0.20,0.1994,-0.0034
-5.94,-85.50,276.94,0.5494,0.4586,0.5011,0.4865,-1.07,9.77,0.70,-0.44,0.00,-0.12,9.85,2,0.20,0.1994,-0.0033
-6.00,-85.50,277.00,0.5498,0.4586,0.5010,0.4863,-0.93,9.75,0.71,-0.44,0.69,-1.12,9.82,2,0.20,0.1994,-0.0034
-6.06,-85.50,277.00,0.5498,0.4581,0.5015,0.4860,-1.11,9.83,0.59,0.31,0.94,-0.19,9.91,2,0.20,0.1994,-0.0033
-6.06,-85.50,277.00,0.5497,0.4581,0.5016,0.4861,-1.04,9.83,0.61,-0.69,-0.44,0.06,9.90,2,0.20,0.1994,-0.0032
-6.06,-85.56,277.00,0.5498,0.4585,0.5014,0.4860,-0.83,9.80,0.63,1.00,-0.50,-0.25,9.86,2,0.20,0.1994,-0.0034
-6.06,-85.69,276.94,0.5488,0.4588,0.5024,0.4857,-1.16,9.79,0.75,2.75,-0.25,0.50,9.89,2,0.20,0.1994,-0.0031
-6.12,-85.69,277.00,0.5490,0.4586,0.5028,0.4852,-0.97,9.85,0.64,0.69,1.31,-2.62,9.92,2,0.20,0.1994,-0.0031
-6.12,-85.62,277.06,0.5495,0.4579,0.5026,0.4855,-1.04,9.74,0.61,-3.56,-2.69,-0.12,9.81,2,0.20,0.1994,-0.0031
-6.12,-85.50,277.12,0.5502,0.4578,0.5018,0.4857,-1.00,9.77,0.66,0.44,0.44,-0.25,9.84,2,0.20,0.1994,-0.0033
-6.12,-85.50,277.12,0.5503,0.4579,0.5017,0.4857,-1.06,9.86,0.65,-0.50,-1.56,0.44,9.94,2,0.20,0.1994,-0.0033
-6.12,-85.56,277.12,0.5501,0.4581,0.5018,0.4856,-1.02,9.75,0.68,1.56,1.19,-0.56,9.83,2,0.20,0.1994,-0.0033
-6.12,-85.50,277.12,0.5504,0.4581,0.5013,0.4857,-0.90,9.72,0.72,0.12,-1.12,0.19,9.79,2,0.20,0.1994,-0.0034
-6.12,-85.44,277.12,0.5507,0.4576,0.5013,0.4857,-1.00,9.66,0.69,-0.06,0.31,-1.12,9.74,2,0.20,0.1994,-0.0034
-6.19,-85.44,277.19,0.5508,0.4575,0.5014,0.4857,-0.91,9.27,0.88,-1.31,0.12,2.12,9.36,2,0.20,0.1994,-0.0034
-6.19,-85.50,277.19,0.5507,0.4575,0.5017,0.4855,-0.86,9.13,0.84,-2.50,-0.12,4.12,9.21,2,0.20,0.1994,-0.0033
-6.19,-85.50,277.19,0.5507,0.4579,0.5017,0.4852,-0.80,9.47,0.79,-1.62,-0.69,2.56,9.54,2,0.20,0.1994,-0.0035
-6.19,-85.56,277.25,0.5506,0.4579,0.5020,0.4850,-1.00,9.66,0.71,0.00,-0.31,0.25,9.74,2,0.20,0.1994,-0.0035
-6.25,-85.50,277.25,0.5511,0.4576,0.5019,0.4848,-0.95,9.75,0.65,0.56,-0.38,-1.75,9.82,2,0.20,0.1994,-0.0035
-6.25,-85.44,277.31,0.5514,0.4575,0.5016,0.4848,-0.94,9.90,0.62,-0.69,-1.44,-0.56,9.96,2,0.20,0.1994,-0.0036
-6.31,-85.31,277.38,0.5521,0.4569,0.5012,0.4850,-1.13,9.86,0.64,0.69,-0.50,-1.12,9.95,2,0.20,0.1993,-0.0037
-6.31,-85.38,277.38,0.5519,0.4569,0.5015,0.4849,-0.96,9.78,0.69,2.81,1.69,-0.50,9.85,2,0.20,0.1993,-0.0036
-6.31,-85.50,277.31,0.5511,0.4573,0.5024,0.4845,-1.00,9.73,0.63,1.06,0.56,0.19,9.80,2,0.20,0.1994,-0.0034
-6.38,-85.56,277.38,0.5512,0.4570,0.5028,0.4843,-1.17,9.71,0.70,-0.69,0.25,-0.50,9.81,2,0.20,0.1994,-0.0034
-6.44,-85.56,277.38,0.5513,0.4568,0.5030,0.4841,-1.18,9.78,0.64,-0.38,0.44,0.12,9.87,2,0.20,0.1994,-0.0033
-6.38,-85.50,277.38,0.5516,0.4567,0.5026,0.4843,-1.09,9.73,0.66,0.62,-0.44,0.69,9.81,2,0.20,0.1994,-0.0034
-6.31,-85.50,277.38,0.5513,0.4575,0.5022,0.4843,-1.09,9.77,0.66,-0.06,-1.06,0.81,9.85,2,0.20,0.1994,-0.0036
-6.31,-85.50,277.44,0.5515,0.4575,0.5022,0.4841,-1.19,9.83,0.70,0.44,0.94,-0.88,9.93,2,0.20,0.1994,-0.0037
-6.31,-85.50,277.38,0.5514,0.4573,0.5023,0.4843,-0.99,9.92,0.61,0.00,0.00,-0.06,9.99,2,0.20,0.1994,-0.0036
-6.38,-85.56,277.31,0.5511,0.4570,0.5027,0.4844,-1.20,9.82,0.66,-0.50,0.94,-0.56,9.92,2,0.20,0.1994,-0.0033
-6.31,-85.50,277.31,0.5513,0.4570,0.5023,0.4847,-1.04,9.83,0.65,-0.88,-0.06,0.06,9.91,2,0.20,0.1994,-0.0034
-6.31,-85.38,277.31,0.5518,0.4569,0.5015,0.4851,-0.92,9.73,0.67,-2.69,-2.12,1.69,9.80,2,0.20,0.1993,-0.0035
-6.31,-85.31,277.38,0.5521,0.4567,0.5011,0.4853,-1.10,9.81,0.71,0.44,0.81,-0.19,9.90,2,0.20,0.1993,-0.0036
-6.25,-85.31,277.31,0.5519,0.4568,0.5010,0.4854,-1.12,9.75,0.76,0.31,-0.50,0.50,9.84,2,0.20,0.1993,-0.0036
-6.25,-85.38,277.25,0.5514,0.4569,0.5016,0.4854,-1.23,9.85,0.68,-0.06,0.81,0.69,9.95,2,0.20,0.1993,-0.0034
-6.19,-85.38,277.19,0.5513,0.4570,0.5013,0.4856,-1.03,9.84,0.65,-0.75,0.50,-0.62,9.92,2,0.20,0.1993,-0.0034
-6.19,-85.31,277.19,0.5516,0.4570,0.5007,0.4860,-1.14,9.73,0.67,0.12,-0.81,1.31,9.82,2,0.20,0.1993,-0.0035
-6.19,-85.31,277.25,0.5516,0.4571,0.5007,0.4859,-1.09,9.73,0.73,0.12,-0.19,-0.12,9.82,2,0.20,0.1993,-0.0035
-6.19,-85.38,277.25,0.5514,0.4573,0.5009,0.4857,-1.08,9.89,0.70,-0.19,1.69,0.19,9.97,2,0.20,0.1993,-0.0036
-6.19,-85.38,277.19,0.5513,0.4573,0.5009,0.4859,-0.99,9.87,0.60,1.06,-0.06,0.25,9.94,2,0.20,0.1993,-0.0035
-6.19,-85.38,277.12,0.5511,0.4571,0.5011,0.4861,-1.19,9.68,0.73,-0.31,0.38,0.31,9.78,2,0.20,0.1993,-0.0033
-6.12,-85.38,277.19,0.5512,0.4572,0.5009,0.4861,-1.03,9.90,0.61,-1.25,-0.56,0.25,9.97,2,0.20,0.1993,-0.0034
-6.12,-85.25,277.19,0.5517,0.4568,0.5003,0.4865,-1.05,9.77,0.74,-2.69,-0.69,0.56,9.85,2,0.20,0.1993,-0.0035
-6.19,-85.12,277.19,0.5525,0.4561,0.4999,0.4867,-1.05,9.83,0.67,-0.38,0.56,-1.88,9.91,2,0.20,0.1993,-0.0035
-6.19,-85.06,277.25,0.5526,0.4560,0.4999,0.4866,-0.97,9.83,0.66,1.88,0.00,0.31,9.90,2,0.20,0.1992,-0.0035
-6.19,-85.19,277.19,0.5522,0.4562,0.5003,0.4865,-1.07,9.68,0.70,0.25,0.25,-0.19,9.76,2,0.20,0.1993,-0.0034
-6.19,-85.19,277.19,0.5522,0.4564,0.5001,0.4865,-1.03,9.80,0.71,-0.56,-0.06,0.44,9.88,2,0.20,0.1993,-0.0035
-6.19,-85.12,277.25,0.5526,0.4561,0.4999,0.4866,-1.04,9.89,0.69,0.69,-0.44,-0.31,9.97,2,0.20,0.1993,-0.0035
-6.25,-85.06,277.25,0.5527,0.4558,0.4999,0.4866,-1.17,9.54,0.76,-1.31,-0.38,-0.44,9.64,2,0.20,0.1992,-0.0035
-6.19,-85.12,277.25,0.5525,0.4562,0.5000,0.4865,-1.10,9.88,0.67,-0.56,-0.31,0.69,9.96,2,0.20,0.1993,-0.0035
-6.19,-85.19,277.25,0.5522,0.4565,0.5002,0.4863,-1.05,9.93,0.67,1.31,0.31,-0.44,10.01,2,0.20,0.1993,-0.0035
-6.25,-85.19,277.25,0.5524,0.4564,0.5003,0.4861,-0.97,9.87,0.60,-0.25,-0.56,-1.12,9.94,2,0.20,0.1993,-0.0035
-6.25,-85.19,277.31,0.5526,0.4562,0.5005,0.4858,-0.96,9.76,0.66,-0.69,-0.88,-0.69,9.83,2,0.20,0.1993,-0.0035
-6.38,-85.19,277.38,0.5529,0.4559,0.5009,0.4854,-1.23,9.85,0.68,-1.31,-0.62,-1.12,9.95,2,0.20,0.1993,-0.0036
-6.44,-85.06,277.50,0.5539,0.4552,0.5005,0.4852,-0.92,9.72,0.70,-0.81,-0.50,-1.56,9.79,2,0.20,0.1993,-0.0037
-6.50,-85.12,277.56,0.5537,0.4551,0.5010,0.4849,-1.16,9.83,0.69,0.50,0.38,-0.38,9.92,2,0.20,0.1993,-0.0036
-6.50,-85.19,277.50,0.5533,0.4553,0.5014,0.4849,-1.15,9.74,0.70,0.75,1.44,0.25,9.83,2,0.20,0.1993,-0.0035
-6.50,-85.19,277.50,0.5534,0.4552,0.5013,0.4850,-1.10,9.83,0.68,-2.31,-0.75,0.19,9.91,2,0.20,0.1993,-0.0035
-6.50,-85.00,277.50,0.5543,0.4543,0.5005,0.4856,-1.10,9.75,0.72,0.81,0.06,0.06,9.84,2,0.20,0.1992,-0.0035
-6.50,-85.06,277.50,0.5541,0.4545,0.5007,0.4855,-1.12,9.77,0.67,0.31,-0.44,-0.12,9.86,2,0.20,0.1992,-0.0035
-6.50,-85.06,277.50,0.5541,0.4545,0.5007,0.4854,-1.05,9.75,0.70,-0.25,-0.44,-0.19,9.83,2,0.20,0.1992,-0.0035
-6.50,-85.06,277.56,0.5541,0.4545,0.5008,0.4854,-1.07,9.83,0.66,1.12,0.06,-0.25,9.91,2,0.20,0.1992,-0.0035
-6.50,-85.06,277.56,0.5541,0.4545,0.5010,0.4853,-1.08,9.74,0.70,0.62,-0.19,0.19,9.82,2,0.20,0.1993,-0.0035
-6.50,-85.06,277.56,0.5540,0.4546,0.5011,0.4852,-1.13,9.86,0.72,0.19,-0.38,-0.50,9.95,2,0.20,0.1993,-0.0035
-6.56,-85.06,277.56,0.5541,0.4544,0.5010,0.4852,-1.15,9.86,0.70,-0.62,0.44,-0.38,9.95,2,0.20,0.1992,-0.0035
-6.56,-85.00,277.62,0.5547,0.4542,0.5006,0.4852,-1.03,9.73,0.70,-2.50,-1.50,-0.88,9.81,2,0.20,0.1992,-0.0036
-6.56,-84.88,277.62,0.5551,0.4538,0.5002,0.4855,-1.17,9.64,0.72,0.19,-0.62,-0.50,9.74,2,0.20,0.1992,-0.0036
-6.56,-84.94,277.62,0.5547,0.4540,0.5005,0.4854,-1.17,9.93,0.70,0.44,0.94,-0.06,10.02,2,0.20,0.1992,-0.0035
-6.50,-85.06,277.56,0.5543,0.4545,0.5008,0.4851,-1.16,9.95,0.64,1.25,0.44,0.19,10.04,2,0.20,0.1992,-0.0036
