[17:18:40.7093] Roll: -5.15 | Pitch: -53.40 | Yaw: -168.65
[17:18:40.7352] Roll: 0.80 | Pitch: -50.67 | Yaw: -173.87
[17:18:40.7603] Roll: -4.13 | Pitch: -55.71 | Yaw: -174.17
[17:18:40.7863] Roll: 1.76 | Pitch: -47.68 | Yaw: -179.39
[17:18:40.8111] Roll: 7.10 | Pitch: -39.94 | Yaw: -184.41
[17:18:40.8361] Roll: 12.11 | Pitch: -42.89 | Yaw: -189.43
[17:18:40.8622] Roll: 17.04 | Pitch: -45.73 | Yaw: -194.66
[17:18:40.8882] Roll: 10.94 | Pitch: -50.91 | Yaw: -194.96
[17:18:40.9146] Roll: 5.18 | Pitch: -55.89 | Yaw: -195.27
[17:18:40.9404] Roll: -0.26 | Pitch: -60.69 | Yaw: -195.57
[17:18:40.9664] Roll: -5.38 | Pitch: -65.29 | Yaw: -195.88
[17:18:40.9921] Roll: -10.20 | Pitch: -69.72 | Yaw: -196.18
[17:18:41.0183] Roll: -4.01 | Pitch: -71.54 | Yaw: -201.40
[17:18:41.0431] Roll: -8.70 | Pitch: -75.68 | Yaw: -201.70
[17:18:41.0691] Roll: -13.30 | Pitch: -79.68 | Yaw: -202.00
[17:18:41.0953] Roll: -6.89 | Pitch: -81.08 | Yaw: -207.22
[17:18:41.1212] Roll: -0.85 | Pitch: -82.42 | Yaw: -212.45
[17:18:41.1461] Roll: -5.68 | Pitch: -86.08 | Yaw: -212.74
[17:18:41.1713] Roll: 0.30 | Pitch: -87.20 | Yaw: -217.96
[17:18:41.1971] Roll: 4.94 | Pitch: -90.65 | Yaw: -218.26
[17:18:41.2233] Roll: -1.24 | Pitch: -91.56 | Yaw: -223.48
[17:18:41.2493] Roll: 3.48 | Pitch: -94.80 | Yaw: -223.77
[17:18:41.2742] Roll: 8.11 | Pitch: -97.95 | Yaw: -224.08
[17:18:41.3002] Roll: 12.47 | Pitch: -100.96 | Yaw: -224.38
[17:18:41.3272] Roll: 11.59 | Pitch: -96.29 | Yaw: -224.38
[17:18:41.3542] Roll: 10.75 | Pitch: -91.74 | Yaw: -224.38
[17:18:41.3811] Roll: 9.94 | Pitch: -87.32 | Yaw: -224.38
[17:18:41.4075] Roll: 9.17 | Pitch: -83.03 | Yaw: -224.38
[17:18:41.4342] Roll: 8.42 | Pitch: -78.87 | Yaw: -224.38
[17:18:41.4612] Roll: 7.71 | Pitch: -74.84 | Yaw: -224.38
[17:18:41.4882] Roll: 7.03 | Pitch: -70.93 | Yaw: -224.38
[17:18:41.5152] Roll: 6.37 | Pitch: -67.14 | Yaw: -224.38
[17:18:41.5423] Roll: 5.75 | Pitch: -63.48 | Yaw: -224.38
[17:18:41.5693] Roll: 5.15 | Pitch: -59.94 | Yaw: -224.38
[17:18:41.5963] Roll: 4.58 | Pitch: -56.53 | Yaw: -224.38
[17:18:41.6223] Roll: -0.90 | Pitch: -60.96 | Yaw: -224.69
[17:18:41.6483] Roll: 4.66 | Pitch: -52.25 | Yaw: -229.91
[17:18:41.6742] Roll: 9.89 | Pitch: -54.36 | Yaw: -235.13
[17:18:41.7002] Roll: 14.80 | Pitch: -56.39 | Yaw: -240.35
[17:18:41.7263] Roll: 19.41 | Pitch: -58.35 | Yaw: -245.58
[17:18:41.7524] Roll: 13.01 | Pitch: -62.69 | Yaw: -245.88
[17:18:41.7785] Roll: 17.68 | Pitch: -53.96 | Yaw: -251.10
[17:18:41.8044] Roll: 11.34 | Pitch: -58.45 | Yaw: -251.41
[17:18:41.8303] Roll: 5.36 | Pitch: -62.78 | Yaw: -251.71
[17:18:41.8563] Roll: -0.29 | Pitch: -66.95 | Yaw: -252.02
[17:18:41.8822] Roll: 5.11 | Pitch: -58.07 | Yaw: -257.24
[17:18:41.9082] Roll: -0.53 | Pitch: -62.40 | Yaw: -257.55
[17:18:41.9332] Roll: 4.88 | Pitch: -64.11 | Yaw: -262.77
[17:18:41.9594] Roll: 9.97 | Pitch: -65.76 | Yaw: -267.99
[17:18:41.9862] Roll: 4.03 | Pitch: -69.79 | Yaw: -268.30
[17:18:42.0113] Roll: 9.16 | Pitch: -71.22 | Yaw: -273.52
[17:18:42.0373] Roll: 13.97 | Pitch: -62.19 | Yaw: -278.74
[17:18:42.0631] Roll: 18.49 | Pitch: -53.48 | Yaw: -283.96
[17:18:42.0893] Roll: 22.72 | Pitch: -55.50 | Yaw: -289.19
[17:18:42.1156] Roll: 26.69 | Pitch: -59.88 | Yaw: -294.41
[17:18:42.1413] Roll: 30.39 | Pitch: -51.27 | Yaw: -299.63
[17:18:42.1673] Roll: 23.11 | Pitch: -55.81 | Yaw: -299.94
[17:18:42.1932] Roll: 16.22 | Pitch: -60.19 | Yaw: -300.24
[17:18:42.2192] Roll: 20.44 | Pitch: -51.58 | Yaw: -305.46
[17:18:42.2452] Roll: 24.38 | Pitch: -53.66 | Yaw: -310.69
[17:18:42.2714] Roll: 17.34 | Pitch: -58.12 | Yaw: -310.99
[17:18:42.2975] Roll: 21.41 | Pitch: -59.97 | Yaw: -316.21
[17:18:42.3233] Roll: 25.22 | Pitch: -61.75 | Yaw: -321.44
[17:18:42.3493] Roll: 18.05 | Pitch: -65.91 | Yaw: -321.74
[17:18:42.3751] Roll: 22.00 | Pitch: -67.47 | Yaw: -326.96
[17:18:42.4012] Roll: 25.69 | Pitch: -58.59 | Yaw: -332.19
[17:18:42.4271] Roll: 29.13 | Pitch: -60.41 | Yaw: -337.41
[17:18:42.4533] Roll: 32.34 | Pitch: -62.16 | Yaw: -342.63
[17:18:42.4791] Roll: 24.60 | Pitch: -66.29 | Yaw: -342.94
[17:18:42.5054] Roll: 17.27 | Pitch: -70.27 | Yaw: -343.24
[17:18:42.5312] Roll: 21.07 | Pitch: -71.65 | Yaw: -348.46
[17:18:42.5572] Roll: 24.62 | Pitch: -72.98 | Yaw: -353.69
[17:18:42.5823] Roll: 27.93 | Pitch: -74.26 | Yaw: -358.91
[17:18:42.6092] Roll: 20.30 | Pitch: -77.92 | Yaw: -359.21
[17:18:42.6344] Roll: 23.80 | Pitch: -68.63 | Yaw: -364.44
[17:18:42.6613] Roll: 16.35 | Pitch: -72.48 | Yaw: -364.74
[17:18:42.6864] Roll: 20.03 | Pitch: -73.75 | Yaw: -369.96
[17:18:42.7124] Roll: 23.47 | Pitch: -77.41 | Yaw: -375.19
[17:18:42.7384] Roll: 26.68 | Pitch: -68.11 | Yaw: -380.41
[17:18:42.7643] Roll: 29.67 | Pitch: -69.52 | Yaw: -385.63
[17:18:42.7906] Roll: 32.46 | Pitch: -70.87 | Yaw: -390.85
[17:18:42.8163] Roll: 24.31 | Pitch: -74.61 | Yaw: -391.16
[17:18:42.8423] Roll: 27.33 | Pitch: -75.77 | Yaw: -396.38
[17:18:42.8692] Roll: 19.42 | Pitch: -79.32 | Yaw: -396.69
[17:18:42.8944] Roll: 22.66 | Pitch: -80.29 | Yaw: -401.91
[17:18:42.9203] Roll: 14.96 | Pitch: -83.66 | Yaw: -402.21
[17:18:42.9464] Roll: 18.41 | Pitch: -74.09 | Yaw: -407.44
[17:18:42.9723] Roll: 21.63 | Pitch: -64.86 | Yaw: -412.66
[17:18:42.9982] Roll: 24.64 | Pitch: -55.96 | Yaw: -417.88
[17:18:43.0242] Roll: 27.45 | Pitch: -47.39 | Yaw: -423.10
[17:18:43.0502] Roll: 30.06 | Pitch: -49.50 | Yaw: -428.33
[17:18:43.0762] Roll: 21.76 | Pitch: -53.99 | Yaw: -428.63
[17:18:43.1027] Roll: 13.91 | Pitch: -58.31 | Yaw: -428.94
[17:18:43.1281] Roll: 6.49 | Pitch: -62.49 | Yaw: -429.24
[17:18:43.1541] Roll: 10.22 | Pitch: -53.70 | Yaw: -434.46
[17:18:43.1802] Roll: 13.71 | Pitch: -55.60 | Yaw: -439.69
[17:18:43.2062] Roll: 16.99 | Pitch: -57.44 | Yaw: -444.91
[17:18:43.2323] Roll: 9.34 | Pitch: -61.65 | Yaw: -445.21
[17:18:43.2583] Roll: 2.11 | Pitch: -65.71 | Yaw: -445.52
[17:18:43.2833] Roll: 6.02 | Pitch: -67.19 | Yaw: -450.74
[17:18:43.3095] Roll: -0.77 | Pitch: -71.03 | Yaw: -451.03
[17:18:43.3343] Roll: 3.30 | Pitch: -72.30 | Yaw: -456.26
[17:18:43.3603] Roll: 7.13 | Pitch: -73.53 | Yaw: -461.48
[17:18:43.3862] Roll: 0.01 | Pitch: -77.14 | Yaw: -461.78
[17:18:43.4121] Roll: 4.02 | Pitch: -78.17 | Yaw: -467.01
[17:18:43.4372] Roll: 7.64 | Pitch: -68.82 | Yaw: -472.03
[17:18:43.4634] Roll: 0.47 | Pitch: -72.58 | Yaw: -472.33
[17:18:43.4893] Roll: 4.45 | Pitch: -76.20 | Yaw: -477.55
